# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-14 16:10:00;26.1;1016.4;35;9.4;7.2;;45;;
000EW;2026-06-14 16:20:00;26.3;1016.4;35;9.6;4;;338;;
000EW;2026-06-14 16:30:00;26.2;1016.3;34;9.1;4.8;;68;;
000EW;2026-06-14 16:40:00;26.1;1016.3;35;9.4;6.4;;45;;
000EW;2026-06-14 16:50:00;26.1;1016.2;35;9.4;6.4;;34;;
000EW;2026-06-14 17:00:00;26.1;1016.2;35;9.4;4.8;;79;0;0
000EW;2026-06-14 17:10:00;26;1016.1;36;9.8;4.8;;34;;
000EW;2026-06-14 17:20:00;26;1016;36;9.8;5.6;;56;;
000EW;2026-06-14 17:30:00;25.7;1015.9;38;10.3;4;;68;;
000EW;2026-06-14 17:40:00;25.5;1015.9;38;10.1;6.4;;34;;
000EW;2026-06-14 17:50:00;25.7;1015.9;38;10.3;4;;23;;
000EW;2026-06-14 18:00:00;25.4;1015.9;39;10.5;4;;45;0;0
000EW;2026-06-14 18:10:00;25.1;1015.8;40;10.5;6.4;;45;;
000EW;2026-06-14 18:20:00;24.9;1015.8;40;10.4;4;;45;;
000EW;2026-06-14 18:30:00;24.8;1015.8;41;10.6;5.6;;45;;
000EW;2026-06-14 18:40:00;24.7;1015.8;41;10.5;4.8;;45;;
000EW;2026-06-14 18:50:00;24.4;1016;42;10.7;4.8;;23;;
000EW;2026-06-14 19:00:00;24.1;1016;43;10.7;5.6;;11;0;0
000EW;2026-06-14 19:10:00;23.8;1016;44;10.8;7.2;;0;;
000EW;2026-06-14 19:20:00;23.6;1016;44;10.6;5.6;;11;;
000EW;2026-06-14 19:30:00;23.2;1016.1;45;10.6;7.2;;11;;
000EW;2026-06-14 19:40:00;22.9;1016.1;45;10.3;9.7;;23;;
000EW;2026-06-14 19:50:00;22.7;1016.1;46;10.5;6.4;;0;;
000EW;2026-06-14 20:00:00;22.6;1016.2;47;10.7;6.4;;11;0;0
000EW;2026-06-14 20:10:00;22.3;1016.3;50;11.3;4.8;;34;;
000EW;2026-06-14 20:20:00;21.9;1016.3;51;11.3;5.6;;11;;
000EW;2026-06-14 20:30:00;21.5;1016.4;53;11.5;8.9;;0;;
000EW;2026-06-14 20:40:00;21.2;1016.4;53;11.3;8.9;;0;;
000EW;2026-06-14 20:50:00;21;1016.5;54;11.3;6.4;;11;;
000EW;2026-06-14 21:00:00;20.8;1016.7;54;11.1;4.8;;349;0;0
000EW;2026-06-14 21:10:00;20.6;1016.7;54;10.9;7.2;;0;;
